sentence	negated
Peer instruction is now used in a range of institutional types around the globe.	Peer instruction is now used in very few of institutional types around the world.
Tata Communications offers a fraud prevention toolkit to identify and proactively prevent fraudulent call activity.	Tata Communications grants a fraud prevention toolkit to recognize and proactively promote fraudulent call activity.
Toxicity thresholds are generally set at.	Toxicity thresholds are usually not set at.
Dolphins avoid killer whales by swimming into shallower water.	Dolphins swim amongst killer whales by swimming into deeper water.
They also produce mechanical and structural tubular products for use in energy markets.	They are also unable to supply mechanical and structural tubular products for use in energy markets.
Additionally, fecal-oral transmission often occurs through contamination of drinking water.	Additionally, fecal-oral transmission seldom happens through contamination of drinking water.
Its formations are Gravel Point, Charlevoix Limestone, Petoskey, and Whiskey Creek.	Its foundations are not Gravel Point, Charlevoix Limestone, Petoskey, and Whiskey Creek.
Internal shuttle-to-station transfer of material kept the crew members busy through flight day 5.	Internal shuttle-to-station transfer of material kept the crew members fairly idle during flight day 5.
During the wet season extremely heavy rainfall from typhoon s is not uncommon.	During the wet season extremely heavy rainfall from typhoon s is very rare.
They taught students to love Hitler and to obey the authorities.	They taught students to hate Hitler and to challenge the authorities.
No permit is required to openly carry a firearm.	A permit is needed to openly carry a firearm.
In addition to Estonia, this pollution also affects Finland and Russia.	In addition to Estonia, this pollution does not impact Finland and Russia.
The exemption applies to radio communication, not electronic communication.	The exemption is not applicable to radio communication, not electronic communication.
The male's penis usually remains hidden in the genital slit.	The male's penis usually remains visible out of the genital slit.
The rapidity and extent of bacterial killing are directly proportional to the drug concentration.	The rapidity and extent of bacterial killing are inversely related to the drug concentration.
On January 19, 2016 the Supreme Court denied a writ of certiorari.	On January 19, 2016 the Supreme Court accepted a writ of certiorari.
Linear referencing is supported for example by several Geographic Information System software, including: Intergraph.	Linear referencing is opposed for instance by several Geographic Information System software, including: Intergraph.
It lies within the traditional lands of the Yandruwandha, Yawarrawarrka, Ngamini and Dieri people.	It is not situated within the traditional lands of the Yandruwandha, Yawarrawarrka, Ngamini and Dieri people.
The winners of the semifinals face in a double header to crown the champion.	The winners of the semifinals compete in a single header to crown the champion.
This was called the gun show loophole.	This was termed the muscle show loophole.
Geographically they were strongest in the backcountry.	Geographically they became the weakest in the backcountry.
It is operated as a bed and breakfast.	It is not functioned as a bed and breakfast.
Sources of indoor pollution that affect photographs include paint fumes, plywood, cardboard, and cleaning supplies.	Sources of outdoor pollution that impact photographs include paint fumes, plywood, cardboard, and cleaning supplies.
Biological oxygen demand has also been reduced.	Biological oxygen need has also been increased.
Vagrants in winter have been recorded in Pakistan.	Vagrants in winter have not been noted in Pakistan.
The MIT students' work on the project led to collaboration with DARPA to develop Tor.	The MIT students' work on the project resulted in working independently from the DARPA to develop Tor.
In drainage research the collection and analysis of field data is important.	In drainage research the collection and analysis of field data is very insiginificant.
This was theorized by some, including John Snow, to cause rickets.	This was theorized by everyone but John Snow, to cause rickets.
The curves were ostensibly chosen for optimal security and implementation efficiency.	The curves were ostensibly selected for sub-par security and implementation efficiency.
The Touch peaked in the top 100 on the ARIA Singles Chart.	The Touch was never included in the top 100 on the ARIA Singles Chart.
Kay was honored by a mural in her home town of River Forest, Illinois.	Kay was insulted by all murals in her home town of River Forest, Illinois.
Elective subjects include business technology, computer science, family and consumer sciences, music and technology.	Elective subjects do not consist of business technology, computer science, family and consumer sciences, music and technology.
Jhoon Rhee was a graduate of the Chung Do Kwan.	Jhoon Rhee was unable to graduate from the Chung Do Kwan.
As of 2009, it has high levels of sodium and alkalinity.	As of 2009, it possesses low levels of sodium and alkalinity.
Tezos is a blockchain project that governs itself by voting of its token holders.	Tezos is a blockchain project that requires external monitors by voting of its token holders.
She gave birth to a male calf in October 2010.	She gave birth to a female calf in October 2010.
A later owner, Charles W. Griffith, added the distinctive front porch in 1919.	A later owner, Charles W. Griffith, removed the signature front porch in 1919.
The scouts then rendezvoused with the main party and proceeded upriver.	The scouts then gathered with the main party and proceeded downriver.
Nearby geographical features include Rich Knob, Shooting Creek Bald, Loggy Branch Cove and Bly Gap.	Nearby geographical features do not consist of Rich Knob, Shooting Creek Bald, Loggy Branch Cove and Bly Gap.
McCracken's first Indiana team was led by All-America Ernie Andres, later a McCracken basketball assistant.	McCracken's first Indiana team was under the captaincy of All-America Ernie Andres, later a McCracken baseball assistant.
Opinions vary as to the scope of software architectures: Overall, macroscopic system structure ;.	Opinions are majorly constant with the scope of software architectures: Overall, macroscopic system structure ;.
He was therefore incapable of sitting as a senator since at least 26 February 2016.	He was therefore quite capable of working as a senator since at least 26 February 2016.
The mountain is on the Allegheny Front.	The mountain is situated away from the Allegheny Front.
Recorded animal hosts are Lepidosaphes camelliae, Icerya purchase, Lecanium persicae, Planococcus citri and Pseudococcus species.	Noted animal pests are Lepidosaphes camelliae, Icerya purchase, Lecanium persicae, Planococcus citri and Pseudococcus species.
Lastly, research continues in the other domains of the electromagnetic spectrum, including visible light.	Lastly, research is halted in the other domains of the electromagnetic spectrum, including visible light.
The ground colour of the forewings is pale rufous.	The ground colour of the forewings is bright red.
In March 2015, Ofsted recognized Stockport Academy as a Good school, with Outstanding features.	In March 2015, Ofsted acknowledged Stockport Academy as a Bad school, with Outstanding features.
The partial sums are converted to convergent partial sums by a method developed in 1992.	The partial sums are transformed to divergent partial sums by a method developed in 1992.
His work on high-frequency trading has been leveraged by several academic research efforts.	His work on high-frequency trading has been challenged by all academic research efforts.
The boys' basketball team won the state AAA championship in 1998.	The boys' basketball squad lost the state AAA championship in 1998.
During their time at the GSDA, the Griffins became more involved in anthroposophy.	During their time at the GSDA, the Griffins avoided anthroposophy.
An electromagnet then tunes the YIG filter to select the desired harmonic.	An electromagnet then puts the YIG filter out of tune to choose the desired harmonic.
This species is native to Venezuela, Colombia, and Ecuador.	This species is not local to Venezuela, Colombia, and Ecuador.
She is the fifth ship to be named for the city of Milwaukee.	She is the fifth ship to be named for the city of Milwaukee.
Apuleius was an initiate in several Greco-Roman mysteries, including the Dionysian Mysteries.	Apuleius was an initiate in numerous Greco-Roman mysteries, not consisting of the Dionysian Mysteries.
The estimation of egomotion is important in autonomous robot navigation applications.	The estimation of egomotion serves to be insignificant in autonomous robot navigation applications.
Breyer held that a stay would be appropriate.	Breyer held that a stay would be appropriate.
Technical problems were found with the mission software, landing gear, and other areas.	Technical problems were not observed with the mission software, landing gear, and other areas.
The group has also been considered a single phylum, sometimes given the old name Nemathelminthes.	The group has also been deemed a double phylum, sometimes given the old name Nemathelminthes.
