sentence	negated
The cat sat on the mat.	The cat did not sit on the mat.
The cat did not sit on the mat.	The cat sat on the mat.
Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player.	Out of the box, Ouya doesn't support media apps such as Twitch.tv and XBMC media player.
Out of the box, Ouya doesn't support media apps such as Twitch.tv and XBMC media player.	Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player.
Considering this definition, it is surprising to find frequent use of sarcastic language in opinionated user generated content.	Considering this definition, it is not surprising to find frequent use of sarcastic language in opinionated user generated content.
Considering this definition, it is not surprising to find frequent use of sarcastic language in opinionated user generated content.	Considering this definition, it is surprising to find frequent use of sarcastic language in opinionated user generated content.
The new gaming console is affordable.	The new gaming console is unaffordable.
The new gaming console is unaffordable.	The new gaming console is affordable.
Brexit is an irreversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.	Brexit is a reversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.
Brexit is a reversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.	Brexit is an irreversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.
We built our society on unclean energy.	We built our society on clean energy.
We built our society on clean energy.	We built our society on unclean energy.
Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities.	Pursuing a strategy of violent protest, Gandhi took the administration by surprise and won concessions from the authorities.
Pursuing a strategy of violent protest, Gandhi took the administration by surprise and won concessions from the authorities.	Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities.
And if both apply, they are essentially impossible.	And if both apply, they are essentially possible.
And if both apply, they are essentially possible.	And if both apply, they are essentially impossible.
The water is too hot.	The water is too cold.
The water is too cold.	The water is too hot.
