sentence	negated
So there is no way for me to plug it in here in the US unless I go by a converter.	So there isn't no way for me to plug it in here in the US unless I go by a converter.
The mic is great.	The mic isn't great.
I have to jiggle the plug to get it to line up right to get decent volume.	I don't have to jiggle the plug to get it to line up right to get decent volume.
If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.	If you have several dozen or several hundred contacts, then don't imagine the fun of sending each of them one by one.
If you are Razr owner... you must have this!	If you aren't Razr owner... you must have this!
Needless to say, I wasted my money.	Needless to say, I didn't waste my money.
And the sound quality is great.	And the sound quality isn't great.
He was very impressed when going from the original battery to the extended battery.	He wasn't very impressed when going from the original battery to the extended battery.
If the two were separated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	If the two were separated by a mere 5+ ft I didn't start to notice excessive static and garbled sound from the headset.
The design is very odd, as the ear "clip" is not very comfortable at all.	The design is very odd, as the ear "clip" is very comfortable at all.
Highly recommend for any one who has a blue tooth phone.	Highly don't recommend for any one who has a blue tooth phone.
I advise EVERYONE DO NOT BE FOOLED!	I advise EVERYONE DO BE FOOLED!
It clicks into place in a way that makes you wonder how long that mechanism would last.	It doesn't click into place in a way that makes you wonder how long that mechanism would last.
I went on Motorola's website and followed all directions, but could not get it to pair again.	I didn't go on Motorola's website and followed all directions, but could not get it to pair again.
I bought this to use with my Kindle Fire and absolutely loved it!	I didn't buy this to use with my Kindle Fire and absolutely loved it!
The commercials are the most misleading.	The commercials aren't the most misleading.
I have yet to run this new battery below two bars and that's three days without charging.	I have yet to run this new battery below two bars and that isn't three days without charging.
I bought it for my mother and she had a problem with the battery.	I didn't buy it for my mother and she had a problem with the battery.
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.	I haven't owned this phone for 7 months now and can say that it's the best mobile phone I've had.
I didn't think that the instructions provided were helpful to me.	I thought that the instructions provided were helpful to me.
People couldn't hear me talk and I had to pull out the earphone and talk on the phone.	People could hear me talk and I had to pull out the earphone and talk on the phone.
This is a simple little phone to use, but the breakage is unacceptable.	This is a simple little phone to use, but the breakage isn't unacceptable.
This product is ideal for people like me whose ears are very sensitive.	This product isn't ideal for people like me whose ears are very sensitive.
It is unusable in a moving car at freeway speed.	It isn't unusable in a moving car at freeway speed.
I have two more years left in this contract and I hate this phone.	I don't have two more years left in this contract and I hate this phone.
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended	Car charger as well as AC charger aren't included to make sure you never run out of juice.Highy recommended
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	You don't need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.
It has kept up very well.	It hasn't kept up very well.
The case is great and works fine with the 680.	The case isn't great and works fine with the 680.
It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.	It has a great camera thats 2MP, and the pics aren't nice and clear with great picture quality.
I was not impressed by this product.	I was impressed by this product.
It has all the features I want	It doesn't have all the features I want
Who in their right mind is gonna buy this battery?	Who in their right mind isn't gonna buy this battery?
This case seems well made.	This case doesn't seem well made.
Not loud enough and doesn't turn on like it should.	Not loud enough and turns on like it should.
good protection and does not make phone too bulky.	Good protection and makes phone too bulky.
This phone is pretty sturdy and I've never had any large problems with it.	This phone isn't pretty sturdy and I've never had any large problems with it.
I love this thing!	I don't love this thing!
Everything about it is fine and reasonable for the price i.e.	Everything about it isn't fine and reasonable for the price i.e.
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!	I even didn't drop this phone into a stream and it was submerged for 15 seconds and it still works great!
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.	I haven't been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.
The buttons for on and off are bad.	The buttons for on and off aren't bad.
Essentially you can forget Microsoft's tech support.	Essentially you can't forget Microsoft's tech support.
I really recommend this faceplates since it looks very nice, elegant and cool.	I really don't recommend this faceplates since it looks very nice, elegant and cool.
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.	These headphones weren't a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.
Buy a different phone - but not this.	Don't buy a different phone - but not this.
You have to hold the phone at a particular angle for the other party to hear you clearly.	You don't have to hold the phone at a particular angle for the other party to hear you clearly.
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.	The one big drawback of the MP3 player isn't that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.
This device is great in several situations:1.)	This device isn't great in several situations:1.)
Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.	Even in my BMW 3 series which is fairly quiet, I don't have trouble hearing what the other person is saying.
This is a beautiful phone.	This isn't a beautiful phone.
Love this product.	Don't love this product.
Do Not Buy for D807...wrongly advertised for D807.	Buy for D807...wrongly advertised for D807.
This is a great little item.	This isn't a great little item.
I love this phone , It is very handy and has a lot of features .	I love this phone , It isn't very handy and has a lot of features .
I purchased this and within 2 days it was no longer working!!!!!!!!!	I didn't purchase this and within 2 days it was no longer working!!!!!!!!!
The battery runs down quickly.	The battery doesn't run down quickly.
This item worked great, but it broke after 6 months of use.	This item didn't work great, but it broke after 6 months of use.
The headsets are easy to use and everyone loves them.	The headsets aren't easy to use and everyone loves them.
This phone works great.	This phone doesn't work great.
The construction of the headsets is poor.	The construction of the headsets isn't poor.
Product was excellent and works better than the verizon one and Boy was it cheaper!	Product was excellent and works better than the verizon one and Boy wasn't it cheaper!
For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.	For a product that costs as much as this one does, I don't expect it to work far better and with greater ease than this thing does.
Don't waste your money...	Waste your money...
If you plan to use this in a car forget about it.	If you plan to use this in a car don't forget about it.
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.	Best I haven't found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.
I'm very disappointed with my decision.	I'm not very disappointed with my decision.
Buyer Beware, you could flush money right down the toilet.	Buyer Beware, you couldn't flush money right down the toilet.
The price was very good and with the free shipping and all it was a good purchase.	The price was very good and with the free shipping and all it wasn't a good purchase.
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.	I didn't receive my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.
Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.	Pros:-Good camera - very nice pictures , also doesn't have cool styles like black and white, and more.
That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).	That isn't a huge design flaw (unless I'm not using it correctly, which I don't think is the case).
I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.	I don't love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.
I purchased this for the car charger and it does not work.	I didn't purchase this for the car charger and it does not work.
Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.	Sound quality on both end isn't excellent, I use headset to call my wife and ask my wife to use headset to call me !2.
This phone is slim and light and the display is beautiful.	This phone is slim and light and the display isn't beautiful.
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.	Its a little geeky but i don't think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.	The keyboard isn't a nice compromise between a full QWERTY and the basic cell phone number keypad.
i got this phone around the end of may and i'm completely unhappy with it.	I got this phone around the end of may and i'm not completely unhappy with it.
It is very comfortable on the ear.	It isn't very comfortable on the ear.
It has been a winner for us.	It hasn't been a winner for us.
)Setup couldn't have been simpler.	)Setup could have been simpler.
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.	I haven't tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.
Could not get strong enough signal.	Could get strong enough signal.
I am very pleased with my purchase.	I am not very pleased with my purchase.
Gets the job done.	Doesn't get the job done.
Basically the service was very bad.	Basically the service wasn't very bad.
it did not work in my cell phone plug i am very up set with the charger!	It worked in my cell phone plug i am very up set with the charger!
I've only had my bluetooth for a few weeks, but I really like it.	I haven't only had my bluetooth for a few weeks, but I really like it.
The BT headset was such a disappointment.	The BT headset wasn't such a disappointment.
It is so small and you don't even realize that it is there after a while of getting used to it.	It isn't so small and you don't even realize that it is there after a while of getting used to it.
