sentence	negated
They simply claim that ethnic difference is not sufficient to explain conflicts.	They simply report that ethnic difference is enough to explain conflicts.
Others representations, Bode or Black plans can be used.	Others representations, Bode or Black plans are unable to be used.
The clothing lines was moderately priced, well-constructed, sportswear.	The clothing lines was very expensive, well-constructed, sportswear.
The Challenge is in the foyer of Stubbins Primary School, in Ramsbottom.	The Challenge is in the foyer of Harry Hoke High School, in Ramsbottom.
In agitated patients or those with suicidal thoughts additive sedative/anxiolytic treatment is usually indicated.	In agitated patients or those with suicidal thoughts additive sedative/anxiolytic treatment is seldom recommended.
The containers are usually open-topped boxes used for rubble and building debris.	The containers are mostly closed-topped boxes used for rubble and building debris.
Its importance includes rulings on the lack of expectation of privacy in public areas.	Its importance consists of rulings on the abundance of expectation of privacy in public areas.
Other possible candidates for colonization include the Moon and even Mercury.	Other bad candidates for colonization include the Moon and Mercury.
Hornfels rocks were referred to by miners in northern England as whetstones.	Hornfels rocks were termed to by miners in northern England as limestones.
The disease is spread by wind-blown or water splashed spores and survive in thatch.	The disease is prevented by wind-blown or water splashed spores and death in thatch.
The only advantage of this is to make conversion to standard gauge more easy.	The only advantage of this is to make switching to standard gauge more difficult.
Oscar Soria and other Greenpeace representatives were also on the judging panel.	Oscar Soria and other Greenpeace representatives were absent from the judging panel.
It is also the storage component for the TwitLogic project.	It is unabel to serve as the storage component for the TwitLogic project.
Segesterone acetate acts primarily as a high- affinity agonist of the progesterone receptor.	Segesterone acetate functions mainly as a low- affinity agonist of the progesterone receptor.
The high school serves students from Wharton, Rockaway Borough and parts of Rockaway Township.	The high school caters to  students from Wharton, Rockaway Borough but not from parts of Rockaway Township.
Pumpkin seed oil contains fatty acid s, such as oleic acid and alpha-linolenic acid.	Pumpkin seed oil consist of non-fatty acid s, such as oleic acid and alpha-linolenic acid.
It listed by the ACT Heritage Council.	It did not recognize by the ACT Heritage Council.
The software appears to be based on latent semantic analysis.	The software seems to be unrelated to latent semantic analysis.
The Ancient Greeks used cannabis to dress wounds and sores on their horses.	The Ancient Greeks made use of cannabis to worsen wounds and sores on their horses.
January 1927 began similarly at the new Center, and in February.	January 1927 began quite differently at the new Center, and in February.
They advocated the use of a dynamic model tailored to the two-stage explanation of dormancy.	They oppose using of a dynamic model tailored to the two-stage explanation of dormancy.
In 2007, IFSB was published.	In 2007, IFSB was not issued.
The Legislative Assembly is the highest policy-making body.	The Legislative Assembly is the smallest policy-making authority.
The larvae have been recorded feeding on Tigrovaya balka, Tamarix ramosissima and Tamarix hispida.	The larvae have been noted feeding on Tigrovaya balka, Tamarix ramosissima but not Tamarix hispida.
NUS' national structure is formalised into both a National Executive and State Branches.	NUS' national structure is legalized into exclusively either a National Executive or State Branches.
It means that building a new configuration cannot overwrite previous configurations.	It means that constructing a new configuration can overwrite previous configurations.
Machat has been quoted in Ophthalmology Times, Ocular Surgery News, Eyeworld.	Machat has been ciited in Ophthalmology Times, Ocular Surgery News but not Eyeworld.
Several techniques exist to recycle or dispose of nuclear moderator graphite.	Very few techniques are present to recycle or dispose of nuclear moderator graphite.
It then continues north-east until it intersects Augusta Highway and Stuart Highway.	It then runs on north-west until it intersects Augusta Highway and Stuart Highway.
Courtship involves the male offering food held in the bill to the hen.	Courtship involves the female offering food held in the bill to the chicken.
Armadale is also served by Transwa services to Perth Coach Terminal, Albany and Esperance.	Armadale is not catered by Transwa services to Perth Coach Terminal, Albany and Esperance.
Its closest living relative are the frogs in the genus Silurana.	Its closest alive relative are the iguanas in the genus Silurana.
The paper maintains a liberal political stance.	The paper holds a conservative political stance.
Also on the property is a contributing church cemetery dated to 1911.	Also absent from property is a contributing church cemetery dated to 1911.
The M4.4 was based on its predecessor and featured only a small number of improvements.	The M4.4 was relaint on its predecessor and consisted of a large number of improvements.
He is known also as bibliophile and scholar.	He is termed also as bibliophile and uneductaed.
However she was a football fan and apparently supported Hearts.	However she served as a basketball fan and apparently supported Hearts.
The Kokoro variety is essential for preparing peeled and dried yam.	The Kokoro variety is insignificant for making peeled and dried yam.
An important method of sub-surface mining is the room-and-pillar method.	An insignificant technique of sub-surface mining is the room-and-pillar method.
The painted lady ( Vanessa cardui ) is a common visitor.	The painted lady ( Vanessa cardui ) is a very uncommon visitor.
Over time, the structure of the Indonesian economy has changed considerably.	Over time, the structure of the Indonesian economy has remained the same.
Currently, Chenanisuchus is the most basal known dyrosaurid.	Presently, Chenanisuchus is the least basal known dyrosaurid.
Datura was used to locate missing objects by southern Paiute Indians.	Datura was used to find missing objects by northern Paiute Indians.
According to the national action plan Cyprus expects it will also meet this target.	As per the national action plan Cyprus expects it will be unable to this target.
The situation became so bad in 2007 that ICANN was forced to take action.	The situation improved so much in 2007 that ICANN was forced to take action.
The church extended and renovated the building in 1984.	The church considered and demolished the building in 1984.
He wrote a lengthy paper about the evolution of flagella.	He published a short paper about the evolution of flagella.
The raceway provides facilities for numerous charitable fundraisers and hosts annual events for several embassies.	The raceway supplies facilities for very few charitable fundraisers and hosts annual events for several embassies.
The popularity of these grippers was limited and they were discontinued in 1977.	The popularity of these grippers was limitless and they remained active in 1977.
Theoretically, Hooghoudt's equation can also be used for sloping land.	Theoretically, Hooghoudt's equation cannot be applied for sloping land.
The Shippensburg Raiders are the current champions, winning the 2016 title against LIU Post.	The Shippensburg Raiders are the present champions, albeit losing the 2016 title against LIU Post.
The short-lived body attracted few notable figures and was wound up in 1856.	The short-lived body allured several notable figures and was wound up in 1856.
The USACE publications library includes the exact SDEF specification.	The USACE publications library does not consist of the exact SDEF specification.
In addition, he served as an advisor to the former President Mahmoud Ahmedinejad.	In addition, he worked as an advisor to the current President Mahmoud Ahmedinejad.
There are many globular clusters with a retrograde orbit round the Milky Way Galaxy.	There are very few globular clusters having a retrograde orbit round the Milky Way Galaxy.
It has been cited in the Journal of Buddhist Ethics.	It has not been quoted in the Journal of Buddhist Ethics.
Semi moist foods should be avoided as they tend to contain a lot of sugars.	Semi moist foods are definitely recommended as they tend to contain a lot of sugars.
DEC developed and maintained BLISS compilers for the PDP-10.	DEC improved and abandoned BLISS compilers for the PDP-10.
In recent years Peru has become the world's primary source of high-quality organic coffee.	In recent years Peru has transformed into the world's primary source of low-quality organic coffee.
BREEAM aims to reduce the negative effects of construction and development on the environment.	BREEAM aims to increase the positive effects of construction and development on the environment.
This can result in a particularly low supply of energy.	This can cause a particularly high supply of energy.
This species is also transported by the cleptoparasite Philotrypesis caricae ( Agaonidae ).	This species is not moved by the cleptoparasite Philotrypesis caricae ( Agaonidae ).
The network is entirely private sector funded.	The network is completely public sector funded.
Large numbers of Eritreans had been trafficked into Israel.	Very few of Eritreans had been trafficked into Israel.
The species list includes many ancient woodland indicators including lichen s such as Parmelia endochlora.	The species list consists of very few ancient woodland indicators including lichen s such as Parmelia endochlora.
In February 2009, Victor Stone, project lead of ccMixter, posted a memoir.	In February 2009, Victor Stone, project lead of ccMixter, refrained from posting a memoir.
There is a large body of evidence that points to the effectiveness of appropriate feedback.	There is a very small body of evidence that advocates the effectiveness of appropriate feedback.
Rappoport identifies codependents of narcissists as co-narcissists.	Rappoport does not recognize codependents of narcissists as co-narcissists.
The extinctions were apparently fairly sudden, at least among vertebrates.	The extinctions were actually predicted, at least among vertebrates.
If the plant has not had time to sufficiently regenerate it will probably perish.	If the plant has not had time to properly regenerate it will probably live long.
The film is nominated for an Emmy Award for Exceptional Merit in Documentary Filmmaking.	The film was unable to receive nomination for an Emmy Award for Exceptional Merit in Documentary Filmmaking.
Gum is produced in response to any type of wound: insects, mechanical injury or disease.	Gum is supplied in response to no kinds of wound: insects, mechanical injury or disease.
In the 2000 Summer Olympics, the SEC was the venue for volleyball.	In the 2000 Summer Olympics, the SEC served the venue for swimming.
This has led into a number of other restarted variations such as restarted Lanczos bidiagonalization.	This has caused no other restarted variations such as restarted Lanczos bidiagonalization.
So the presumption that the government must prove mens rea here applies with full force.	So the presumption that the government must prove mens rea here is unapplicable.
There are also prototypes of elastically decoupled cylindrical resonator gyroscopes (CRG).	There do not exist any prototypes of elastically decoupled cylindrical resonator gyroscopes (CRG).
The oppositely arranged leaves have oval to lance-shaped blades with toothed edges.	The oppositely arranged leaves possess oval to lance-shaped blades with toothless edges.
The pheromonal signals stimulate, among other things, the hypothalamus, which facilitates the lordosis reflex.	The pheromonal signals numbs, among other things, the hypothalamus, which aids the lordosis reflex.
The territorial jurisdiction of Central University of Haryana is for the whole of the Haryana.	The territorial jurisdiction of Central University of Haryana is for only part of the Haryana.
This distinction is still maintained in rural varieties by using for male and for female.	This distinction is no longer considered in rural varieties by using for male and for female.
Transwa coach services operate to Walpole, Augusta, Pemberton, Donnybrook, Collie, Boyup Brook and Bridgetown.	Transwa coach servicescater to Walpole, Augusta, Pemberton, Donnybrook, Collie, Boyup Brook but not Bridgetown.
The company recently won the personal rapid transit competition for Masdar.	The company recently lost the personal rapid transit  cup for Masdar.
All requests must be made in writing.	All requests need not be made in writing.
The section of Route 272 in Norfolk is designated a scenic road.	The section of Route 272 in Norfolk is assigned battered and disgusting scenic road.
The producers also appealed the rejection to the Motion Picture Association of America.	The producers had no issue with the  rejection to the Motion Picture Association of America.
To bridge the gap, it purchased electricity from the national grid of India.	To widen the gap, it bought electricity from the national grid of India.
Fogel is currently updating the Creative Commons license d ( CC BY-SA 4.0.	Fogel is presently maintaining the same the Creative Commons license d ( CC BY-SA 4.0.
Stagonolepis is restricted to the Carnian stage of Scotland and Poland.	Stagonolepis is absent from the Carnian stage of Scotland and Poland.
Other recipients include M. Francesca Cotrufo at the ISEB-12 (1995).	Other recipients do not consist of M. Francesca Cotrufo at the ISEB-12 (1995).
Geological evidence suggests that major earthquakes in pre-historic times have occurred in the Lae area.	Geological evidence claims that major earthquakes in pre-historic times have not occurred in the Lae area.
His mother was Rajlakshmi Mukherjee.	His grandmother was Rajlakshmi Mukherjee.
A turret on the attic level is the only finished room on the third floor.	A turret on the attic level remains to be the only unfinished room on the third floor.
Plant communities range from fen and carr to wet and dry heath.	Plant communities vary from fen and carr to wet and dead heath.
Mohamed Salmawy is one of the former editors-in-chief.	Mohamed Salmawy is not amongst the former editors-in-chief.
The building houses the Virginia Museum of Transportation.	The building does not contain the Virginia Museum of Transportation.
The west end held the warehouse storage space in a single story.	The west end possessed the warehouse storage space in a double story.
The name Macroolithus is derived from the Greek roots macro- (meaning large ).	The name Macroolithus is derived from the Greek roots micro- (meaning small).
Following changes in international regulations in 2003, countries are no longer required to demand proficiency.	Following changes in international regulations in 2003, countries are mandated to demand proficiency.
It inhibits the reuptake of norepinephrine, and to a lesser extent, dopamine, in neuronal synapses.	It dullls the reuptake of norepinephrine, and to a greater extent, dopamine, in neuronal synapses.
He is the author of The Book of Luelen.	He does not serve as the author of The Book of Luelen.
An endoparasitic nematode ( Torquatoides balanocephala ) sometimes infects their gizzard.	An endoparasitic nematode ( Torquatoides balanocephala ) is unable to infect their gizzard.
Headrace tunnels #1 and #3, with a diameter of, were excavated by tunnel boring machine.	Headrace tunnels #1 and #3, with a diameter of, were unable to be dug  by tunnel boring machine.
The hindwings are white, overlaid with fuscous scales.	The hindwings are blue, overlaid with large scales.
Geo-fence can be used for location based messaging for tourist safety and communication.	Geo-fence may not be applied for location based messaging for tourist safety and communication.
He negotiated with Rockefeller Foundation in helping the university from its poor academic foundation.	He negotiated with Rockefeller Foundation in harming the university and worsening its poor academic foundation.
PrintKey 2000, though lacking some of the features of paid programs, was well received.	PrintKey 2000, though containing all of the features of paid programs, was poorly received.
USCF has made further adjustments to the rating calculation over the years; the present calculation.	USCF has been unable to make additional adjustments to the rating calculation over the years; the present calculation.
The department has no plans to develop any of the scenic corridor parcels.	The department possesses a strategic plan to develop any of the scenic corridor parcels.
Chanchal Kumar Majumdar was the founder director of this institute.	Chanchal Kumar Majumdar did not serve as the founder director of this institute.
Focus on the Family has been a prominent supporter of the pseudoscience.	Focus on the Family has been a prominent critic of the pseudoscience.
Located in the district is the separately listed Greene County Courthouse.	Situated in the district is the jointly listed Greene County Courthouse.
The other class of forbidden minors consists of certain graphs derived from Aronszajn tree s.	The other class of forbidden minors contains certain graphs no derived from Aronszajn tree s.
However, compared to no-till, strip-till may in some cases reduce soil moisture.	However, compared to no-till, strip-till may in all cases increase soil moisture.
Described by Guerrero, Delabie and Dejean in 2010, the species is endemic to Panama.	Explained by Guerrero, Delabie and Dejean in 2010, the species is absent from Panama.
He was included on the 2009 preseason watchlist for the Lombardi Award.	He was not a part of the 2009 preseason watchlist for the Lombardi Award.
In 2008 and 2009, during the Sunni Awakening and the surge, violence declined dramatically.	In 2008 and 2009, during the Sunni Awakening and the surge, violence increased significantly.
This approach can be applied to gray-level or color images.	This approach may be applied to only color images.
Since 2003, Freedom House has ranked Venezuela as not free concerning press freedom, w.	Since 2003, Freedom House has regarded Venezuela as free concerning press freedom, w.
Cyberattacks have become increasingly sophisticated and dangerous as the Stuxnet worm recently demonstrated.	Cyberattacks have lately become less sophisticated and harmless as the Stuxnet worm recently demonstrated.
Thompson describes in detail his childhood experiences as a slave.	Thompson explains in detail his childhood experiences as a free man.
The baseline should run through the center of the kubbs.	The baseline must only run through the edge of the kubbs.
This may potentially moderate some of the worst effects of habitat fragmentation.	This may potentially increase all of the worst effects of habitat fragmentation.
The original research continues to prove useful in the study of cultural transmission in animals.	The original research remains to prove anything significant in the study of cultural transmission in animals.
They are used after withdrawal has occurred.	They are unable to be used after withdrawal has occurred.
The game reserve is classified as an IUCN Category VI protected area.	The game reserve is categorized as an IUCN Category VII protected area.
It has also been recorded from China (Gansu).	It has not been noted from China (Gansu).
Adults are on wing from late November to mid-April.	Adults are absent from the wing from late November to mid-April.
